,retm2551_20,retm2551_20_dot1ppb,sablind241_10,samp21_10000,samp31_10000,sapci41_10000,sapci51_10000,sapci61_10000,sablankpph1_10,sapph21_10000,sapph31_10000,sapp41_10000,sapp51_10000,sapp51_10000_dot1ppb,saapblank1_10,sacap41_10000,sacap51_10000,sacap61_10000,saram41_10000,saram51_10000,saram51_10000_dot1ppb,saram61_10000,sacpu41_10000,sacpu4s1_10000,sacpu51_10000,sacpu5s1_10000,sasub171_10000,sasub181_10000,sasub191_10000,sasub201_10000,sasub211_10000,sasub221_10000,sasub231_10000,sasub231_10000_dot1ppb,sablindind1_10,sasubs171_10000,sasubs181_10000,sacf11_10000,saicf21_10000,saicm11_10000,saicm21_10000,sans11_10000,sans21_10000,saind41_10000,saind41_10000_dot1ppb,sand51_10000,saramblank1_10,retm2551_20_dp,retm2551_20_dot1ppb_dp,slope,intercept
9B,0.9488554171403147,14.826635948072058,0.035040033005974906,0.023020425337934098,0.020201394481357306,0.014117027193334086,0.015244092659913456,0.015529583838027591,0.010115785758536411,0.0027870516144492046,0.010355627598381566,0.006766494409858913,0.0040427780586666205,14.51449230004856,0.011989543682428785,0.008193338444086616,0.008287463440216532,0.007558250458738905,0.003736920662537754,0.007436285401495556,8.043165279858165,0.007320972765470866,0.0007915870005153941,0.00812875469452839,0.0005675406723003423,0.007096607862279991,0.0021307851798914954,0.002454819803256117,0.005713028152342564,0.0055470258534594955,0.005894993160450705,0.005948446940789372,0.004667662975307594,11.194218878837635,0.009622059513130887,0.005843497195914442,0.005901557155114475,0.002609061903301096,0.004149364620431879,0.003847438033040022,0.0025614513265826222,0.0011325728095652366,0.00984458569478877,0.005675174853663848,13.441909323850412,0.005318803131946639,0.015023352388280954,2.3079791738023987,15.315277619688697,98.73822187568976,-5.982537820432113
23NA,323.31241013595024,341.04565069064813,763.9003697023857,2.9953332476921184,3.339238362067389,3.924109105903395,3.547836636826947,2.9077639796247494,542.454255424343,6.723110326891694,4.517223592846283,4.114390222025174,4.123287063687755,17.81168579289038,472.0099488370102,3.7671818277910747,4.111209339620903,3.7317208284453978,2.605532832222712,2.887663946782327,10.601036283290178,2.5012421233403095,0.42887793420217113,4.4044288202840605,0.29533998568620967,4.592659311555344,3.719203312180219,6.558274600650034,4.4303181880169324,5.6655745072872525,5.249235296068289,3.6361988566375967,3.6575006226673854,14.14392643955227,286.01138718461675,3.65752283004172,6.2838628350288825,5.085469015047019,2.911682013447376,3.6224878500594495,3.6215116596636574,3.238949816213438,3.4440030715476353,4.260310199153392,16.410154231343967,5.822638384480088,838.8622853174802,754.2519173836824,350.99447425490456,20.440951051666488,-6.839243559282312
25MG,217.78102042650136,236.2954792050493,74.84846793338409,0.1699615887394312,0.13944198617759607,0.3129072300190939,0.19190940188487113,0.1370803804126548,62.55909557381135,1.5545576354611257,1.552124969658496,1.1254791880914452,1.0712231469250246,16.20655580974672,70.49948493524224,1.9338462532850356,2.6849805907499094,2.1205474764382464,0.1185712863358145,0.15523085478699347,8.512734025341294,0.15588023843825133,0.1035521879334306,2.6995086596995943,0.04738928706903113,2.710023531613999,0.910949000664882,1.1027748529650536,1.1754175380949416,0.9152328148814087,1.0976715674097506,1.0569626776332757,0.9042147639203583,11.776893452317498,80.53708446858828,0.8236246052067855,0.9421905998882987,0.4052101178156765,2.00491838484937,0.4112106637243846,0.3807050876593773,0.922996968387576,0.9823119847453446,0.4217470925939428,13.888540812123054,0.4352339740658842,61.12318140470198,379.4710881281468,242.52723544444925,329.7819311092154,-5.84235199110571
27AL,2.085744507632303,15.21552893128345,188.36474101432728,0.620286495029995,0.4669882837047806,0.7245937257427404,0.5705273671338145,0.4410202910882043,149.0086894644247,16.224204042560583,15.91469035271882,14.989070794529436,14.37034192028077,31.110571252996273,151.98962675407336,723.318382296318,627.9398882149424,628.2107664196909,0.4698045095047765,0.4843191100050581,8.84864264857448,0.4435815607411548,3.5550535957714726,15.700573055100818,1.8077106228159623,16.640226861472687,20.62196357513082,23.697840506252195,20.115789091937657,19.674362495239663,27.153396635595097,21.318551178831882,21.37253299060222,32.35786292027188,143.51214933191972,19.906504105976342,20.987566239592987,6.387734524982386,3.530549831875286,0.8940594974672792,0.9765412737302924,23.22872162424184,26.57544124056007,0.9916647538135309,13.914778966614715,0.8980113102530969,176.97964516571267,7.448872401503635,15.85373888269287,179.25268805255527,-5.725272007216586
44CA,83.57495960065383,100.63352045398709,33.554046207609765,0.6875609695543982,0.5367645961295656,0.7906302576278098,0.45441414704447003,0.5229339478647648,31.187572310127795,4.728198766247129,3.978965676600454,4.079158175322272,4.191415254658237,18.752336275734553,31.445190341259018,1.0990765788857702,1.605806447902626,1.0333556686366794,0.3764729123946932,0.44949785877518417,8.868074078601698,0.4879935674927156,0.3854342365043283,4.835135871771392,0.20124826947779234,3.964778034980308,5.233667595489766,6.66526945435894,5.437583525895493,5.111748292646489,5.5439667619674315,5.221546730367976,5.417972631420615,16.076054123611044,34.56122423904771,5.227506963341031,5.6717675969181425,0.6164327986889453,0.7726794382378245,0.566366386129259,0.5415541019052825,2.729779813186402,2.998593896162178,0.9476855122469456,14.142860352225334,1.1216020544559255,34.150214444048515,135.3461561829952,101.11626954704212,109.0103617105431,-6.091990292932354
45SC,0.04837178162987865,12.816977512708926,0.03715239472226962,0.00835869452315904,0.005026349648552883,0.005370327013349606,0.004243818307670627,0.004139943172103387,0.00986751501078172,0.006619316347695896,0.0057095248024115995,0.005203810217347812,0.005181870503896402,13.795173386860979,0.02139432259930469,0.007258658239814789,0.005155048151568568,0.0049863969810310495,0.002535792944831236,0.003364067337234095,7.905758831474573,0.008900750177667689,0.0006714420226686295,0.006172663193652951,0.00032093387320658036,0.0050831405209756046,0.005783621838875707,0.007218417237541355,0.003747512118521944,0.006022550242691239,0.0051669436181651365,0.004978333068671593,0.005542907258933619,10.127800861089057,0.023629992018778207,0.006344435409791838,0.005606541597779732,0.004573670155440586,0.003754225072150441,0.003626094764307968,0.0024623730134715727,0.0033303367278408025,0.0043143748008755475,0.004171970651546347,12.141861234945448,0.008571913947492779,0.017840448008965507,0.14501336945063187,12.468432842112378,11.166927656931648,-4.295918367133709
48TI,2.4384862016822564,3.7525056415859144,0.9308363046029369,0.1214195080526645,0.10684622054429822,0.0807935844685283,0.07244076006272825,0.0714952748844044,0.9742397163783618,0.4586662601924876,0.41288942871232415,0.5593300478415172,0.5581258207297429,1.923492054362958,0.8633195213454856,0.1875829327467377,0.16208226808392617,0.18086581793907971,0.04090949304857637,0.05612984129288114,0.7849020832644533,0.042326242640501686,0.2565785209895503,0.4856747573001582,0.227389852512551,0.5562304888621654,1.9200048513529713,2.1877838145692654,1.844046083657636,1.8080452292746925,1.7576561724906898,2.118639561943491,1.8790184569911315,2.878673254624059,2.0966117594899143,1.8145178156880037,1.8449419127259479,0.08589718393171832,0.07433820511648132,0.06206351130355941,0.06444684665151429,0.862303898920801,0.8969830590871116,0.12516938669955915,1.2647501955000187,0.10293019045059619,1.1845051791202394,4.283227442495552,3.8166070339131646,10.571279662354202,-0.5443293239202182
51V,2.079144246764524,3.391599931633978,0.8339499326110386,0.44089034903794755,0.4788860614744624,0.4509271692696249,0.41359975247188646,0.39596954674556917,0.7900564295627672,0.5746691520275828,0.5700971108046262,0.5835369073182383,0.5737492163384716,1.9410820795031196,0.9098555582100901,0.6531596378007966,0.7148271312039076,0.6722682074677493,0.46770909665669963,0.49094736490373186,1.1480044902523006,0.45681459073617453,0.06881681039710681,0.6469465031377064,0.053221277323505845,0.648027179295353,0.6230542637035636,0.7093865554151212,0.562419500917945,0.561328426324791,0.6885351399808115,0.5964462701551968,0.5671340940247146,1.5373461410568692,1.0035620216924377,0.5540672895603883,0.5429891170900393,0.5340924843748202,0.5610373588838214,0.5697618142249764,0.5538447108878025,0.49099966996474825,0.5367270209164794,0.6702376123470424,1.8260732357275848,0.5914586639220015,0.6838166820747144,2.544648635717165,3.580631673023802,3.332363743730368,-1.2014300157871416
52CR,1.5543771955530752,2.8561825076428033,24.704919698327934,0.15823070120440927,0.24403628024891613,0.6263786430668017,0.5859827162483459,0.4527503409139705,22.256029499111712,0.40030241109525916,0.38239802342717694,4.188100300673327,4.1038288004720025,5.731350348823118,23.532736987375255,0.23865871137828967,0.22773471607439458,0.2859413025058421,0.21915603283928267,0.234707251649069,1.0617516507618991,0.17892361833871948,0.07451917702588375,1.0234291935340891,0.07088907458097543,0.2404731689967765,9.101664923473926,10.612952615570789,8.79450978922043,8.580163745395469,9.340443602416956,10.643191608188275,9.25017759749505,10.367383017884523,23.018159131992302,9.209167892397035,9.111701932651636,0.8384254658301697,0.6878344695142615,1.0764197609395336,1.2127100007566036,0.4250649965342496,0.5037796036250641,7.437268378704006,8.389801659190642,7.1216765014244165,21.657105238896843,1.900805549430182,2.8810187465528205,2.204281841603038,-0.5242524518631405
55MN,1.607307574857191,2.850702317523145,2.702368718277087,0.0173853738937922,0.023379845978465964,0.043170376458040616,0.03674187104733786,0.03413013359461381,2.208486955128927,0.05126866282023674,0.04634480752650968,0.3898334501525297,0.3867311491509112,1.7228131155432012,2.3232688525431864,0.09444196269661007,0.08369932437990685,0.09275207276642576,0.016833642573570267,0.021778203489328112,0.7629790892206131,0.014293610501147498,0.006169729818422712,0.17571153255789845,0.0057452351697786655,0.04874554245897696,0.4609875123143421,0.5332866699832545,0.4333033439628787,0.4219139767575506,0.4514461924795284,0.5210415678836415,0.4476847238034074,1.4169263735724171,2.395869736882237,0.4413285598034323,0.43588090261679696,0.08310166903038577,0.0686508764551841,0.08036945174705185,0.0832122009833255,0.035859987076888686,0.042436620549407104,1.9679545833192749,3.06959884234035,1.9077205614178119,2.3325020625267605,3.3299300762342194,2.904776899143602,4.6452213028459415,-0.4832295184209739
